#{"t_start": 1711781886.422358, "env_id": "None"}
r,l,t
-65.000123,199,911.805629
-158.502043,199,915.418357
-26.087645,199,920.382156
-37.843206,199,924.009907
-44.683961,199,927.618672
-66.767564,199,931.267433
-65.327432,199,934.960325
-68.342343,199,938.609706
-19.605428,199,942.251896
18.586081,199,945.834507
-29.488795,199,949.438671
-27.813515,199,953.128156
-64.827218,199,956.730302
-14.36963,199,961.232421
-28.865249,199,964.886082
-29.732833,199,968.625075
-26.835292,199,972.246819
-3.561029,199,975.889962
-45.478515,199,979.519347
-16.25222,199,983.129307
-39.558821,199,986.829925
-86.352093,199,990.435058
-20.820357,199,994.028979
-35.248603,199,998.524314
-95.754084,199,1002.124414
-97.726675,199,1005.818965
-91.115959,199,1009.412863
-30.715316,199,1013.026913
-22.099588,199,1016.631671
-61.303511,199,1020.321909
-44.446456,199,1023.928001
-37.153828,199,1027.572628
-38.543822,199,1031.191922
-24.897842,199,1035.796058
-8.689392,199,1039.478304
-63.062868,199,1043.11516
-22.531061,199,1046.729152
-59.696147,199,1050.417486
-16.878069,199,1054.096395
-36.34963,199,1057.725329
-47.888586,199,1061.335243
-79.584439,199,1064.94302
-40.67293,199,1068.63346
-81.400695,199,1072.320185
-28.082549,199,1076.818631
-78.081833,199,1080.421117
-25.691449,199,1084.042795
-6.52166,199,1087.710507
-26.61306,199,1091.32562
-72.258035,199,1094.907878
-82.814635,199,1098.513759
-17.016337,199,1102.120777
-19.582893,199,1105.812397
-23.152276,199,1109.419292
-77.136762,199,1113.872985
-62.609139,199,1117.500152
-26.982823,199,1121.156627
-38.907602,199,1124.750386
-39.183885,199,1128.346526
-16.259116,199,1131.937833
9.298353,199,1135.540728
-28.46093,199,1139.204456
4.071668,199,1142.811384
-50.616686,199,1146.422587
-29.465911,199,1151.007705
-29.908871,199,1154.697641
-0.032777,199,1158.301161
-29.078259,199,1161.914624
-4.132496,199,1165.560908
-37.957523,199,1169.215395
-19.350293,199,1172.882927
-18.004952,199,1176.511745
-17.732923,199,1180.15118
-110.401569,199,1183.792444
-9.636394,199,1187.468047
10.133522,199,1192.049693
-34.631087,199,1195.627637
-17.532197,199,1199.22483
0.726003,199,1202.898717
-51.816722,199,1206.6086
-64.657807,199,1210.226331
-39.752045,199,1213.818441
16.495147,199,1217.4152
-10.119863,199,1221.073114
-38.24773,199,1224.699796
-2.554649,199,1229.160132
11.544262,199,1232.792876
-46.256122,199,1236.481917
-23.087649,199,1240.07939
-83.868191,199,1243.707718
-73.119106,199,1247.30271
-10.066948,199,1250.91502
-49.796526,199,1254.596357
-31.357017,199,1258.203657
-98.415663,199,1261.828861
-20.171662,199,1266.343665
-2.375406,199,1270.055864
-30.182489,199,1273.666882
-30.329564,199,1277.310689
-37.593537,199,1280.94188
-4.650316,199,1284.526041
1.296503,199,1288.184126
-66.026348,199,1291.789484
-5.224072,199,1295.390433
-13.861044,199,1298.986561
-8.962154,199,1303.446141
-15.674578,199,1307.175112
-41.061815,199,1310.783988
-26.775416,199,1314.401792
1.018812,199,1318.002823
-27.39302,199,1321.684338
-54.46074,199,1325.304158
-43.738409,199,1328.906346
-87.418832,199,1332.513823
-63.062422,199,1336.111045
-27.216947,199,1339.776138
-40.206868,199,1344.20803
-40.416458,199,1347.829111
-78.066771,199,1351.433065
-2.785889,199,1355.076285
7.572068,199,1358.763677
-46.67832,199,1362.345171
3.937272,199,1365.982757
-12.473861,199,1369.607208
-85.154238,199,1373.280735
-12.847955,199,1376.898709
-27.595471,199,1381.399057
-16.844825,199,1385.010031
3.544336,199,1388.665922
-53.715526,199,1392.256147
-15.975522,199,1395.83926
-9.479763,199,1399.441067
-54.350884,199,1403.035943
-20.404445,199,1406.688033
-14.089485,199,1410.328387
-13.635672,199,1413.934976
15.659993,199,1418.40933
-45.789735,199,1422.07583
-29.480867,199,1425.695307
0.11447,199,1429.29368
-43.122573,199,1432.911402
-79.099554,199,1436.513711
-31.713433,199,1440.187295
13.368942,199,1443.820055
-29.171441,199,1447.424806
-50.248573,199,1451.037493
-70.047266,199,1454.692911
8.277798,199,1459.125111
-20.571978,199,1462.723262
-67.521668,199,1466.316936
-36.370508,199,1469.936879
-78.38605,199,1473.607221
-11.895606,199,1477.207409
-20.563043,199,1480.809061
-24.08704,199,1484.403788
-43.036733,199,1488.093236
10.600899,199,1491.692215
-37.800757,199,1496.138403
-22.813542,199,1499.757518
-45.938754,199,1503.388482
-45.746863,199,1507.083137
-24.934862,199,1510.698292
-22.297946,199,1514.31784
-4.448946,199,1517.925393
-39.895127,199,1521.520449
-27.005952,199,1525.213589
-13.305113,199,1528.815968
-12.355061,199,1533.290912
-24.145695,199,1536.908715
-5.209454,199,1540.569991
-23.013588,199,1544.18064
-137.696696,199,1547.807475
-63.15036,199,1551.407978
-28.286377,199,1555.011856
-42.624744,199,1558.70512
-41.83846,199,1562.311515
-8.396259,199,1565.927254
-12.697591,199,1570.342744
-25.463589,199,1574.000597
-44.556232,199,1577.597607
-64.53353,199,1581.196411
-33.747997,199,1584.806486
-30.869269,199,1588.419871
7.579842,199,1592.108041
-44.09963,199,1595.709855
-24.44963,199,1599.303879
-4.908179,199,1602.914664
-104.760701,199,1606.584403
-27.255694,199,1611.001778
-24.739182,199,1614.620413
-70.42718,199,1618.216511
-54.235785,199,1621.813667
-57.832966,199,1625.476524
-69.366797,199,1629.10647
-39.425699,199,1632.719454
-13.673822,199,1636.313643
-31.557202,199,1640.000698
-14.407279,199,1643.612688
-75.793353,199,1648.015792
-28.017974,199,1651.621503
-21.126648,199,1655.208135
-54.698376,199,1658.891642
-58.40312,199,1662.50228
-40.261621,199,1666.098811
-29.300592,199,1669.697479
-5.772836,199,1673.312916
-48.432485,199,1677.006499
-7.810528,199,1680.608969
-4.301856,199,1685.113273
-46.178673,199,1688.738689
-46.899015,199,1692.382828
-32.221192,199,1695.993086
-36.715351,199,1699.617584
-14.923405,199,1703.212672
-36.012207,199,1706.834845
-105.479502,199,1710.488109
2.807694,199,1714.111248
-55.243003,199,1717.733454
-35.616438,199,1721.325352
-41.562214,199,1725.802616
-23.576099,199,1729.402761
-41.442824,199,1733.017617
-59.160521,199,1736.610404
-42.412391,199,1740.215765
-11.404506,199,1743.879658
-57.457786,199,1747.505156
-43.213491,199,1751.121369
-24.720046,199,1754.720169
-21.205273,199,1758.396611
-48.85122,199,1762.899688
-73.716731,199,1766.505738
-44.245352,199,1770.10718
-81.451235,199,1773.717736
-43.88322,199,1777.387023
-116.702656,199,1781.009974
-30.567475,199,1784.601037
-55.626431,199,1788.215999
-25.921286,199,1791.814598
-49.041237,199,1795.483731
-20.619742,199,1799.896339
-65.162328,199,1803.500402
-10.992765,199,1807.122872
-30.451983,199,1810.781986
-25.562141,199,1814.404473
-20.7781,199,1818.012488
-53.442159,199,1821.632802
-15.05437,199,1825.22072
-48.789931,199,1828.882839
-63.858151,199,1832.513081
-27.265655,199,1837.003606
-41.826214,199,1840.616262
-54.631861,199,1844.311788
-32.032204,199,1847.905171
-45.56506,199,1851.527356
-37.288594,199,1855.10435
-20.662152,199,1858.704391
-34.768173,199,1862.373452
-11.525484,199,1865.970789
-14.864809,199,1869.589658
-92.801719,199,1873.208117
-39.108099,199,1877.7046
-26.951074,199,1881.338455
-23.892621,199,1884.931821
-6.375216,199,1888.520932
-42.970597,199,1892.120901
-11.733093,199,1895.787934
-17.498599,199,1899.38949
-60.663136,199,1902.997442
-7.865234,199,1906.605849
-35.188694,199,1910.293179
-57.367099,199,1914.70746
-6.457485,199,1918.33528
-10.340894,199,1921.979604
-56.312966,199,1925.592422
-10.920741,199,1929.277997
1.374747,199,1932.895903
-12.634315,199,1936.531777
-18.014334,199,1940.106717
-40.592915,199,1943.717303
-46.109369,199,1947.450969
-7.285408,199,1951.890712
-68.237165,199,1955.497627
-32.764,199,1959.096373
2.69437,199,1962.749398
-8.118874,199,1966.335286
-8.240523,199,1969.924096
-42.060922,199,1973.520624
-64.74506,199,1977.111668
-23.530999,199,1980.79716
-37.843139,199,1984.398588
-14.076287,199,1987.99677
2.532476,199,1992.423323
-53.120566,199,1996.082948
-15.403369,199,1999.704532
-39.10247,199,2003.308339
-41.645872,199,2006.912644
-60.534201,199,2010.517685
-9.394039,199,2014.180784
-54.318962,199,2017.793948
-37.987814,199,2021.417931
-26.384865,199,2024.992644
12.273116,199,2029.496191
-37.824583,199,2033.104837
-23.985696,199,2036.712096
-44.218611,199,2040.315867
-5.689706,199,2043.916971
-31.140276,199,2047.563806
-26.291528,199,2051.156474
-21.719286,199,2054.78803
-24.743554,199,2058.39916
-50.896902,199,2061.990084
7.358351,199,2066.477206
-58.762736,199,2070.092289
-57.413702,199,2073.714454
-30.733036,199,2077.310078
-27.931784,199,2080.973028
-31.270658,199,2084.584016
-51.532696,199,2088.192222
-23.338028,199,2091.800472
-69.708165,199,2095.395397
-20.13882,199,2099.081134
-26.574662,199,2102.685625
-24.436729,199,2107.117507
-11.506977,199,2110.719741
-37.770227,199,2114.398026
-23.577449,199,2118.007721
-31.849521,199,2121.640548
-27.53289,199,2125.230982
-46.902623,199,2128.814624
-32.196706,199,2132.521167
-46.699198,199,2136.12701
-23.666541,199,2139.726341
-21.618601,199,2144.198355
-20.881796,199,2147.883046
16.900505,199,2151.482784
-37.498662,199,2155.095886
-29.510032,199,2158.701365
-22.212585,199,2162.306771
-36.006964,199,2165.970218
-17.8856,199,2169.549461
-41.66872,199,2173.132775
-18.517578,199,2176.708114
-58.749447,199,2181.124556
-6.06905,199,2184.893022
-64.571394,199,2188.53806
-40.427172,199,2192.167641
-28.732079,199,2195.807443
-44.274631,199,2199.464401
-17.883326,199,2203.084399
-7.728451,199,2206.683285
-25.251481,199,2210.290635
-12.452791,199,2213.897805
-11.28014,199,2218.401734
-6.14459,199,2221.996736
-29.033658,199,2225.617236
4.295451,199,2229.212028
22.521056,199,2232.885737
-38.5487,199,2236.487972
-28.011442,199,2240.088247
-9.679064,199,2243.694796
-23.21433,199,2247.310804
-8.240472,199,2250.967582
-16.622963,199,2254.583273
-13.213149,199,2259.0006
-16.653622,199,2262.609514
6.040791,199,2266.260187
-33.339956,199,2269.862496
-25.290828,199,2273.488546
-30.26334,199,2277.083323
-35.098707,199,2280.692535
4.54804,199,2284.362359
-20.311868,199,2287.989041
-43.497826,199,2291.586393
-26.705427,199,2295.990273
-55.42533,199,2299.674128
-6.603793,199,2303.295505
-8.434012,199,2306.909827
-5.665451,199,2310.509651
-26.549062,199,2314.099152
-10.992289,199,2317.769486
-27.22803,199,2321.405804
-21.364312,199,2325.003259
-10.235225,199,2328.628797
-34.681604,199,2333.146973
-20.358539,199,2336.736718
-32.990893,199,2340.369358
-10.53457,199,2343.968332
-10.776132,199,2347.590158
-29.754474,199,2351.279655
-53.022849,199,2354.900688
-15.076584,199,2358.497385
-44.443109,199,2362.102172
1.931065,199,2365.787169
-12.270399,199,2369.399867
-16.904292,199,2373.848887
-18.019321,199,2377.478571
-28.038841,199,2381.089914
-1.689017,199,2384.760772
-0.60185,199,2388.393857
-9.600224,199,2392.00449
-12.04437,199,2395.600816
-14.804687,199,2399.216307
-39.806323,199,2402.886454
-12.856921,199,2406.543737
-26.611576,199,2410.955875
-18.325782,199,2414.580256
-56.118607,199,2418.252966
-17.558588,199,2421.840742
6.309909,199,2425.421574
-10.985356,199,2429.039354
-0.706878,199,2432.638871
-29.174616,199,2436.290096
-9.056303,199,2439.903759
-16.934762,199,2443.529615
-18.237091,199,2448.071664
-8.549448,199,2451.766432
3.142918,199,2455.387294
-24.727798,199,2458.998864
-14.080671,199,2462.597545
12.569442,199,2466.191048
-29.874304,199,2469.876224
13.743868,199,2473.503682
-34.707075,199,2477.118723
-57.117777,199,2480.729547
-47.901286,199,2485.24176
-22.509928,199,2488.822822
-21.928127,199,2492.421775
-40.25217,199,2496.067979
-18.819249,199,2499.664292
-9.101893,199,2503.371978
-52.476286,199,2506.981117
-24.190831,199,2510.574324
-8.24723,199,2514.178883
-13.542182,199,2517.778041
-50.929752,199,2521.445999
-11.938817,199,2525.840874
-12.521559,199,2529.428678
-28.736034,199,2533.009065
-42.979036,199,2536.710811
17.838994,199,2540.314678
-18.138873,199,2543.903631
-11.934722,199,2547.509048
-12.723605,199,2551.113008
-8.312082,199,2554.79635
1.257746,199,2558.398252
6.992026,199,2562.945492
-4.014426,199,2566.5652
-7.718502,199,2570.20927
-15.285742,199,2573.809534
-5.671172,199,2577.407942
10.699049,199,2581.021718
3.930933,199,2584.617727
-40.277962,199,2588.27931
-27.943345,199,2591.899508
-56.335068,199,2595.499249
-33.352568,199,2599.934215
-11.065246,199,2603.580914
-43.097718,199,2607.182175
-32.43432,199,2610.784311
-43.701215,199,2614.378943
-25.165196,199,2617.978857
-1.46699,199,2621.660683
-90.513093,199,2625.272265
-34.953473,199,2628.887162
-13.692088,199,2632.501325
-45.510884,199,2636.156573
-32.935923,199,2640.527421
-13.859213,199,2644.138635
-42.860036,199,2647.758385
-36.156264,199,2651.384668
-11.956008,199,2655.064421
-32.347201,199,2658.701517
-42.879576,199,2662.320647
-35.23138,199,2665.9148
-20.563099,199,2669.588592
-40.505446,199,2673.18406
-23.321212,199,2677.595962
-66.898702,199,2681.206313
-28.674807,199,2684.820062
-30.283862,199,2688.483504
-30.842906,199,2692.08483
-34.826773,199,2695.705726
-36.58421,199,2699.294399
-49.937122,199,2702.895665
7.019099,199,2706.572121
-55.872914,199,2710.209019
-19.155742,199,2714.595954
-31.680338,199,2718.210903
-14.096639,199,2721.889474
-5.625299,199,2725.487216
-57.295208,199,2729.092531
-45.381871,199,2732.697782
-55.577431,199,2736.301883
-4.715411,199,2739.99511
3.878715,199,2743.601302
-19.571703,199,2747.219412
-11.969951,199,2751.61332
-22.631906,199,2755.281493
-13.333014,199,2758.888636
-45.894856,199,2762.487409
-23.939904,199,2766.087119
-61.136177,199,2769.715001
0.140802,199,2773.372813
-37.706296,199,2776.97396
-32.163853,199,2780.601359
-33.826158,199,2784.280771
-16.392311,199,2787.972941
-10.363617,199,2792.372475
-43.333897,199,2796.002889
-56.457284,199,2799.591474
-50.643056,199,2803.201039
-3.148031,199,2806.915706
-10.31474,199,2810.507662
-70.809108,199,2814.107762
-7.661182,199,2817.702439
-20.308543,199,2821.354423
-32.661683,199,2824.965905
-38.82302,199,2829.373795
-5.577248,199,2833.018771
-37.614482,199,2836.620743
-38.929892,199,2840.275386
3.604161,199,2843.876281
5.823676,199,2847.486682
-44.760647,199,2851.104992
-44.132496,199,2854.69292
22.592757,199,2858.37255
-43.838861,199,2862.00527
-14.739457,199,2866.420233
-35.583184,199,2870.060306
13.554089,199,2873.754161
-2.558821,199,2877.362894
-54.687264,199,2880.960098
-18.950217,199,2884.584208
9.72595,199,2888.206618
-30.708977,199,2891.895393
-65.42688,199,2895.493164
-26.60374,199,2899.115864
-34.877994,199,2902.690868
-26.212228,199,2907.189687
-11.871486,199,2910.79029
-30.888227,199,2914.392903
-43.23278,199,2918.005214
-35.283811,199,2921.6188
-24.461427,199,2925.272058
0.666711,199,2928.889172
2.389058,199,2932.494048
-1.643022,199,2936.0962
3.335133,199,2939.761441
-29.865063,199,2944.224043
-31.54294,199,2947.813881
-33.237011,199,2951.415095
-26.772598,199,2955.020648
-28.662791,199,2958.715137
10.230961,199,2962.33119
-23.686889,199,2965.908743
-37.939811,199,2969.565539
-15.361897,199,2973.180935
10.17886,199,2976.862447
-16.091829,199,2981.274508
-11.21737,199,2984.892529
-17.958369,199,2988.521743
2.469916,199,2992.185151
-22.795501,199,2995.797879
-14.12859,199,2999.391807
-17.061707,199,3002.991969
-14.599184,199,3006.589661
-8.489274,199,3010.287124
-7.475902,199,3013.883115
-22.680417,199,3017.507309
-19.027206,199,3021.941269
-57.016671,199,3025.623001
-2.811179,199,3029.20931
-20.193109,199,3032.790199
-19.121237,199,3036.392575
-33.639738,199,3039.994946
-28.175436,199,3043.659447
-14.202224,199,3047.278024
