#{"t_start": 1710435168.6350129, "env_id": "None"}
r,l,t
-93.352091,199,5.800818
21.08488,199,9.405254
13.119653,199,13.01124
31.948172,199,16.610631
-2.854789,199,20.237019
-43.07822,199,23.917885
-34.630604,199,27.50606
-49.15055,199,31.120539
-18.380329,199,34.744017
-29.186611,199,38.432683
-36.043083,199,42.900615
-72.434134,199,46.500765
-73.696677,199,50.10754
6.995409,199,53.703945
-42.853572,199,57.3688
18.189587,199,60.995153
-17.697421,199,64.603929
18.683473,199,68.203813
-48.506704,199,71.86285
-28.098452,199,75.447593
-68.001414,199,79.920758
17.327283,199,83.501819
12.163865,199,87.102558
-46.960868,199,90.765767
4.986418,199,94.402812
-2.208865,199,98.016778
-90.7224,199,101.604574
-69.234616,199,105.20221
-36.552254,199,108.894699
-54.635076,199,112.48693
7.515109,199,116.987389
49.49071,199,120.596954
-46.887474,199,124.249643
11.417788,199,127.832833
-40.072119,199,131.418591
-29.810922,199,135.005062
29.597882,199,138.604822
-47.833661,199,142.28229
-6.418538,199,145.88919
-68.859704,199,149.499443
-51.9636,199,153.124052
48.905843,199,157.667526
-1.425044,199,161.254311
-33.029659,199,164.83759
-55.187533,199,168.404355
-13.425637,199,172.013875
15.049862,199,175.739212
-42.28723,199,179.483728
-45.712804,199,183.104185
-55.772172,199,186.686622
36.408616,199,190.352588
-58.06492,199,194.804582
-18.035856,199,198.391741
7.979319,199,201.990226
-67.586067,199,205.588164
-21.533089,199,209.266385
-16.792017,199,212.834192
-51.80487,199,216.404526
25.631248,199,219.992175
-7.402908,199,223.652593
-5.022493,199,227.221032
-3.545866,199,231.650724
-14.29801,199,235.219849
-63.285862,199,238.833051
13.518676,199,242.484624
-32.198969,199,246.109149
-56.145182,199,249.692318
-21.956187,199,253.292159
-64.006908,199,256.972654
-47.198679,199,260.590885
-31.316386,199,264.175345
-9.691507,199,267.77376
-4.056978,199,272.192357
-41.30284,199,275.858509
-50.978565,199,279.437495
-106.947642,199,283.007687
-48.764402,199,286.59253
-26.281251,199,290.17678
-46.539163,199,293.809302
-42.603984,199,297.393354
-21.610278,199,300.994769
-34.149239,199,304.598747
14.965628,199,309.127879
-27.494093,199,312.708365
-21.88975,199,316.296274
-15.540488,199,319.898443
26.159273,199,323.504359
-99.678011,199,327.160057
-23.801541,199,330.781144
-43.403186,199,334.395828
-16.178601,199,337.97927
-77.002563,199,341.654338
-72.311797,199,346.112387
0.46821,199,349.70998
17.08103,199,353.295618
-43.965302,199,356.902611
-32.875752,199,360.565048
-20.492094,199,364.18171
-64.678985,199,367.781146
-75.436653,199,371.400426
-66.537108,199,375.061872
12.694158,199,378.627532
-5.928778,199,383.114741
-13.137884,199,386.697807
-62.567575,199,390.30599
-20.897924,199,393.960969
-67.015731,199,397.546427
-80.003735,199,401.1151
-3.721829,199,404.695908
-9.079163,199,408.282409
29.526507,199,411.919879
-40.361898,199,415.499501
-73.849186,199,419.081937
-73.708691,199,423.499126
-54.108395,199,427.144279
-53.654015,199,430.728031
4.204186,199,434.343786
19.655591,199,437.928965
15.186113,199,441.499786
-79.1768,199,445.155119
-79.342264,199,448.730781
-15.665047,199,452.306479
-30.551761,199,455.900049
-42.77439,199,460.382183
22.653794,199,463.969699
-106.684861,199,467.565061
-53.335778,199,471.16826
13.646917,199,474.732117
-70.692797,199,478.386675
-54.231163,199,481.966381
-39.079495,199,485.535252
-17.659719,199,489.12034
-44.20652,199,492.764807
30.385917,199,497.287457
-34.708853,199,500.886584
-38.507725,199,504.552197
3.794716,199,508.207376
-48.964631,199,511.868453
-80.462564,199,515.473366
-20.211206,199,519.048807
19.019117,199,522.633564
-9.132607,199,526.269557
-13.261224,199,529.871022
17.784546,199,533.435294
-10.816996,199,537.905122
-36.561019,199,541.489182
-44.127722,199,545.14282
-84.06018,199,548.738452
7.182221,199,552.323009
-43.602137,199,555.904781
-54.226292,199,559.559402
-29.17583,199,563.177151
-88.116089,199,566.793005
-106.649216,199,570.428563
-49.173293,199,574.908044
16.682321,199,578.562558
-33.337803,199,582.177539
-22.637512,199,585.793737
-8.847722,199,589.393132
0.226937,199,592.995269
-18.221418,199,596.675808
